Date,Dividends
1993-05-25 00:00:00-04:00,0.025
1993-08-26 00:00:00-04:00,0.025
1993-11-24 00:00:00-05:00,0.025
1994-02-23 00:00:00-05:00,0.03125
1994-05-25 00:00:00-04:00,0.03125
1994-08-26 00:00:00-04:00,0.03125
1994-11-25 00:00:00-05:00,0.03125
1995-02-23 00:00:00-05:00,0.04
1995-05-25 00:00:00-04:00,0.04
1995-08-30 00:00:00-04:00,0.04
1995-11-29 00:00:00-05:00,0.04
1996-02-28 00:00:00-05:00,0.055
1996-05-30 00:00:00-04:00,0.055
1996-08-29 00:00:00-04:00,0.055
1996-11-27 00:00:00-05:00,0.055
1997-02-27 00:00:00-05:00,0.07
1997-05-22 00:00:00-04:00,0.07
1997-07-10 00:00:00-04:00,0.07
1997-10-09 00:00:00-04:00,0.07
1998-01-15 00:00:00-05:00,0.1
1998-04-13 00:00:00-04:00,0.1
1998-07-14 00:00:00-04:00,0.1
1998-10-13 00:00:00-04:00,0.1
1999-01-14 00:00:00-05:00,0.12
1999-04-14 00:00:00-04:00,0.12
1999-07-14 00:00:00-04:00,0.12
1999-10-13 00:00:00-04:00,0.12
2000-01-10 00:00:00-05:00,0.2
2000-04-12 00:00:00-04:00,0.2
2000-07-05 00:00:00-04:00,0.2
2000-10-04 00:00:00-04:00,0.2
2001-01-10 00:00:00-05:00,0.23
2001-04-04 00:00:00-04:00,0.23
2001-07-03 00:00:00-04:00,0.23
2001-10-03 00:00:00-04:00,0.23
2002-01-09 00:00:00-05:00,0.23
2002-04-03 00:00:00-05:00,0.23
2002-07-02 00:00:00-04:00,0.23
2002-10-02 00:00:00-04:00,0.23
2003-01-08 00:00:00-05:00,0.23
2003-04-09 00:00:00-04:00,0.23
2003-07-09 00:00:00-04:00,0.23
2003-10-08 00:00:00-04:00,0.23
2004-01-07 00:00:00-05:00,0.25
2004-04-06 00:00:00-04:00,0.25
2004-07-07 00:00:00-04:00,0.25
2004-10-06 00:00:00-04:00,0.25
2005-01-12 00:00:00-05:00,0.27
2005-04-13 00:00:00-04:00,0.27
2005-07-13 00:00:00-04:00,0.27
2005-10-12 00:00:00-04:00,0.27
2006-01-11 00:00:00-05:00,0.27
2006-04-11 00:00:00-04:00,0.27
2006-07-12 00:00:00-04:00,0.27
2006-10-11 00:00:00-04:00,0.27
2007-01-10 00:00:00-05:00,0.27
2007-04-11 00:00:00-04:00,0.27
2007-07-02 00:00:00-04:00,14.25
2007-07-11 00:00:00-04:00,0.27
2007-10-10 00:00:00-04:00,0.27
2008-01-09 00:00:00-05:00,0.27
2008-04-09 00:00:00-04:00,0.27
2008-07-09 00:00:00-04:00,0.27
2008-10-15 00:00:00-04:00,0.27
2009-01-28 00:00:00-05:00,0.27
2009-04-28 00:00:00-04:00,0.067
2009-07-29 00:00:00-04:00,0.05
2009-10-28 00:00:00-04:00,0.05
2010-01-27 00:00:00-05:00,0.05
2010-04-28 00:00:00-04:00,0.05
2010-07-28 00:00:00-04:00,0.05
2010-10-27 00:00:00-04:00,0.05
2011-01-27 00:00:00-05:00,0.05
2011-04-27 00:00:00-04:00,0.05
2011-07-27 00:00:00-04:00,0.05
2011-10-27 00:00:00-04:00,0.05
2012-01-27 00:00:00-05:00,0.05
2012-04-26 00:00:00-04:00,0.05
2012-07-27 00:00:00-04:00,0.05
2012-10-31 00:00:00-04:00,0.05
2013-02-01 00:00:00-05:00,0.05
2013-04-26 00:00:00-04:00,0.05
2013-07-29 00:00:00-04:00,0.05
2013-10-29 00:00:00-04:00,0.05
2014-01-29 00:00:00-05:00,0.05
2014-04-28 00:00:00-04:00,0.1
2014-07-29 00:00:00-04:00,0.1
2014-10-29 00:00:00-04:00,0.1
2015-01-28 00:00:00-05:00,0.1
2015-04-28 00:00:00-04:00,0.15
2015-07-29 00:00:00-04:00,0.15
2015-10-28 00:00:00-04:00,0.15
2016-01-27 00:00:00-05:00,0.15
2016-04-27 00:00:00-04:00,0.15
2016-07-27 00:00:00-04:00,0.2
2016-10-27 00:00:00-04:00,0.2
2017-01-27 00:00:00-05:00,0.2
2017-04-27 00:00:00-04:00,0.2
2017-07-27 00:00:00-04:00,0.25
2017-10-30 00:00:00-04:00,0.25
2018-01-30 00:00:00-05:00,0.25
2018-04-27 00:00:00-04:00,0.25
2018-07-30 00:00:00-04:00,0.3
2018-10-30 00:00:00-04:00,0.3
2019-01-30 00:00:00-05:00,0.3
2019-04-29 00:00:00-04:00,0.3
2019-07-30 00:00:00-04:00,0.35
2019-10-30 00:00:00-04:00,0.35
2020-01-30 00:00:00-05:00,0.35
2020-04-29 00:00:00-04:00,0.35
2020-07-30 00:00:00-04:00,0.35
2020-10-29 00:00:00-04:00,0.35
2021-01-28 00:00:00-05:00,0.35
2021-04-29 00:00:00-04:00,0.35
2021-07-29 00:00:00-04:00,0.7
2021-10-28 00:00:00-04:00,0.7
2022-01-28 00:00:00-05:00,0.7
2022-04-28 00:00:00-04:00,0.7
2022-07-28 00:00:00-04:00,0.775
2022-10-28 00:00:00-04:00,0.775
2023-01-30 00:00:00-05:00,0.775
2023-04-28 00:00:00-04:00,0.775
2023-07-28 00:00:00-04:00,0.85
2023-10-30 00:00:00-04:00,0.85
2024-01-30 00:00:00-05:00,0.85
2024-04-29 00:00:00-04:00,0.85
2024-07-31 00:00:00-04:00,0.925
2024-10-31 00:00:00-04:00,0.925
2025-01-31 00:00:00-05:00,0.925
